cod_ine;CO_COMARCA;DS_COMARCA
17033;1734;SELVA
17034;1710;BAIX EMPORDA
17035;1728;PLA DE L'ESTANY
17036;1731;RIPOLLES
17037;1731;RIPOLLES
17038;1720;GIRONES
17039;1731;RIPOLLES
17040;1720;GIRONES
17041;1702;ALT EMPORDA
17042;1702;ALT EMPORDA
17043;1731;RIPOLLES
17044;1720;GIRONES
17046;1719;GARROTXA
17047;1702;ALT EMPORDA
17048;1710;BAIX EMPORDA
17049;1720;GIRONES
17050;1720;GIRONES
17051;1702;ALT EMPORDA
17052;1702;ALT EMPORDA
17054;1702;ALT EMPORDA
17055;1710;BAIX EMPORDA
17056;1728;PLA DE L'ESTANY
17057;1710;BAIX EMPORDA
17058;1728;PLA DE L'ESTANY
17060;1702;ALT EMPORDA
17061;1715;CERDANYA
17062;1702;ALT EMPORDA
17063;1724;OSONA
17064;1702;ALT EMPORDA
17065;1728;PLA DE L'ESTANY
17066;1702;ALT EMPORDA
17067;1720;GIRONES
17068;1710;BAIX EMPORDA
17069;1715;CERDANYA
17070;1710;BAIX EMPORDA
17071;1728;PLA DE L'ESTANY
17073;1720;GIRONES
17074;1702;ALT EMPORDA
17075;1702;ALT EMPORDA
17076;1710;BAIX EMPORDA
17077;1702;ALT EMPORDA
17078;1715;CERDANYA
44200;4401;CUENCA DEL JILOCA
17079;1720;GIRONES
17080;1731;RIPOLLES
17081;1710;BAIX EMPORDA
17082;1715;CERDANYA
17083;1734;SELVA
17084;1715;CERDANYA
17085;1710;BAIX EMPORDA
17086;1702;ALT EMPORDA
17087;1720;GIRONES
17088;1702;ALT EMPORDA
17089;1720;GIRONES
17090;1720;GIRONES
17091;1731;RIPOLLES
17092;1702;ALT EMPORDA
17093;1702;ALT EMPORDA
17094;1715;CERDANYA
17095;1734;SELVA
17096;1731;RIPOLLES
17097;1720;GIRONES
17098;1719;GARROTXA
17099;1715;CERDANYA
17100;1702;ALT EMPORDA
17101;1734;SELVA
17102;1702;ALT EMPORDA
17103;1734;SELVA
17105;1719;GARROTXA
17106;1702;ALT EMPORDA
17107;1731;RIPOLLES
17109;1719;GARROTXA
17110;1710;BAIX EMPORDA
17111;1702;ALT EMPORDA
17112;1731;RIPOLLES
17114;1719;GARROTXA
17115;1702;ALT EMPORDA
17116;1734;SELVA
17117;1710;BAIX EMPORDA
17118;1710;BAIX EMPORDA
17119;1702;ALT EMPORDA
17120;1702;ALT EMPORDA
17121;1710;BAIX EMPORDA
17123;1728;PLA DE L'ESTANY
17124;1710;BAIX EMPORDA
17125;1731;RIPOLLES
17126;1710;BAIX EMPORDA
17128;1702;ALT EMPORDA
17129;1702;ALT EMPORDA
17130;1710;BAIX EMPORDA
17132;1702;ALT EMPORDA
17133;1719;GARROTXA
17134;1731;RIPOLLES
17135;1702;ALT EMPORDA
17136;1702;ALT EMPORDA
17137;1728;PLA DE L'ESTANY
17138;1702;ALT EMPORDA
17139;1719;GARROTXA
17140;1702;ALT EMPORDA
17141;1715;CERDANYA
17142;1720;GIRONES
17143;1702;ALT EMPORDA
17144;1710;BAIX EMPORDA
17145;1731;RIPOLLES
17146;1734;SELVA
17147;1731;RIPOLLES
17148;1734;SELVA
17149;1719;GARROTXA
17150;1734;SELVA
17151;1702;ALT EMPORDA
17152;1702;ALT EMPORDA
17153;1710;BAIX EMPORDA
17154;1719;GARROTXA
17155;1720;GIRONES
17157;1720;GIRONES
17158;1702;ALT EMPORDA
17159;1734;SELVA
17160;1710;BAIX EMPORDA
17161;1719;GARROTXA
17162;1719;GARROTXA
17163;1720;GIRONES
17164;1734;SELVA
17165;1719;GARROTXA
17166;1720;GIRONES
17167;1731;RIPOLLES
17168;1720;GIRONES
17169;1720;GIRONES
17170;1731;RIPOLLES
17171;1702;ALT EMPORDA
17172;1720;GIRONES
17173;1720;GIRONES
17174;1728;PLA DE L'ESTANY
17175;1702;ALT EMPORDA
17176;1702;ALT EMPORDA
17177;1731;RIPOLLES
17178;1702;ALT EMPORDA
17180;1734;SELVA
17181;1710;BAIX EMPORDA
17182;1702;ALT EMPORDA
17183;1719;GARROTXA
17184;1719;GARROTXA
17185;1719;GARROTXA
17186;1720;GIRONES
17187;1702;ALT EMPORDA
17188;1702;ALT EMPORDA
17189;1734;SELVA
17190;1728;PLA DE L'ESTANY
17191;1710;BAIX EMPORDA
17192;1731;RIPOLLES
17193;1734;SELVA
17194;1734;SELVA
17195;1710;BAIX EMPORDA
17196;1702;ALT EMPORDA
17197;1710;BAIX EMPORDA
17198;1702;ALT EMPORDA
17199;1710;BAIX EMPORDA
17200;1719;GARROTXA
17201;1731;RIPOLLES
17202;1734;SELVA
17203;1710;BAIX EMPORDA
17204;1710;BAIX EMPORDA
17205;1710;BAIX EMPORDA
17206;1715;CERDANYA
17207;1719;GARROTXA
17208;1719;GARROTXA
17209;1710;BAIX EMPORDA
17210;1702;ALT EMPORDA
17211;1710;BAIX EMPORDA
17212;1724;OSONA
17213;1734;SELVA
17214;1702;ALT EMPORDA
17215;1720;GIRONES
17216;1720;GIRONES
17217;1702;ALT EMPORDA
17218;1728;PLA DE L'ESTANY
17220;1724;OSONA
17221;1702;ALT EMPORDA
17222;1702;ALT EMPORDA
17223;1702;ALT EMPORDA
17224;1731;RIPOLLES
17225;1702;ALT EMPORDA
17226;1702;ALT EMPORDA
17227;1702;ALT EMPORDA
17228;1702;ALT EMPORDA
17230;1702;ALT EMPORDA
17232;1710;BAIX EMPORDA
17233;1734;SELVA
17234;1702;ALT EMPORDA
17901;1710;BAIX EMPORDA
17902;1710;BAIX EMPORDA
17903;1734;SELVA
25001;2525;PALLARS JUSSA
25002;2523;NOGUERA
25003;2538;URGELL
25004;2533;SEGRIA
25005;2504;ALT URGELL
25006;2518;GARRIGUES
25007;2533;SEGRIA
25008;2523;NOGUERA
25009;2518;GARRIGUES
25010;2533;SEGRIA
25011;2533;SEGRIA
25012;2533;SEGRIA
25013;2533;SEGRIA
25014;2533;SEGRIA
25015;2523;NOGUERA
25016;2533;SEGRIA
25017;2526;PALLARS SOBIRA
25019;2533;SEGRIA
25020;2533;SEGRIA
25021;2533;SEGRIA
25022;2523;NOGUERA
25023;2533;SEGRIA
25024;2526;PALLARS SOBIRA
25025;2539;VAL D'ARAN
25027;2538;URGELL
25029;2518;GARRIGUES
25030;2504;ALT URGELL
25031;2539;VAL D'ARAN
25032;2504;ALT URGELL
25033;2533;SEGRIA
25034;2523;NOGUERA
25035;2523;NOGUERA
25036;2533;SEGRIA
25037;2523;NOGUERA
25038;2533;SEGRIA
25039;2526;PALLARS SOBIRA
25040;2523;NOGUERA
25041;2527;PLA D'URGELL
25042;2523;NOGUERA
25043;2505;ALTA RIBAGORÇA
25044;2504;ALT URGELL
25045;2539;VAL D'ARAN
25046;2538;URGELL
25047;2523;NOGUERA
25048;2527;PLA D'URGELL
25049;2523;NOGUERA
25050;2538;URGELL
25051;2515;CERDANYA
25052;2527;PLA D'URGELL
25053;2533;SEGRIA
25055;2532;SEGARRA
25056;2518;GARRIGUES
25057;2539;VAL D'ARAN
25058;2518;GARRIGUES
25059;2539;VAL D'ARAN
25060;2523;NOGUERA
25061;2504;ALT URGELL
25062;2523;NOGUERA
25063;2539;VAL D'ARAN
25064;2535;SOLSONES
25067;2518;GARRIGUES
25068;2527;PLA D'URGELL
25069;2523;NOGUERA
25070;2538;URGELL
25071;2504;ALT URGELL
25072;2532;SEGARRA
25073;2518;GARRIGUES
25074;2538;URGELL
25075;2535;SOLSONES
25076;2518;GARRIGUES
25077;2504;ALT URGELL
25078;2533;SEGRIA
25079;2523;NOGUERA
25081;2518;GARRIGUES
25082;2526;PALLARS SOBIRA
25085;2532;SEGARRA
25086;2526;PALLARS SOBIRA
25087;2526;PALLARS SOBIRA
25088;2504;ALT URGELL
25089;2526;PALLARS SOBIRA
