,NAMEUNIT,cod_ine
0,Caldes de Malavella,17033
1,Calonge i Sant Antoni,17034
2,Camós,17035
3,Campdevànol,17036
4,Campelles,17037
5,Campllong,17038
6,Camprodon,17039
7,Canet d'Adri,17040
8,Cantallops,17041
9,Capmany,17042
10,Queralbs,17043
11,Cassà de la Selva,17044
12,Castellfollit de la Roca,17046
13,Castelló d'Empúries,17047
14,Castell-Platja d'Aro,17048
15,Celrà,17049
16,Cervià de Ter,17050
17,Cistella,17051
18,Siurana,17052
19,Colera,17054
20,Colomers,17055
21,Cornellà del Terri,17056
22,Corçà,17057
23,Crespià,17058
24,Darnius,17060
25,Das,17061
26,L'Escala,17062
27,Espinelves,17063
28,Espolla,17064
29,Esponellà,17065
30,Figueres,17066
31,Flaçà,17067
32,Foixà,17068
33,Fontanals de Cerdanya,17069
34,Fontanilles,17070
35,Fontcoberta,17071
36,Fornells de la Selva,17073
37,Fortià,17074
38,Garrigàs,17075
39,Garrigoles,17076
40,Garriguella,17077
41,Ger,17078
42,Rubielos de la Cérida,44200
43,Girona,17079
44,Gombrèn,17080
45,Gualta,17081
46,Guils de Cerdanya,17082
47,Hostalric,17083
48,Isòvol,17084
49,Jafre,17085
50,La Jonquera,17086
51,Juià,17087
52,Lladó,17088
53,Llagostera,17089
54,Llambilles,17090
55,Llanars,17091
56,Llançà,17092
57,Llers,17093
58,Llívia,17094
59,Lloret de Mar,17095
60,Les Llosses,17096
61,Madremanya,17097
62,Maià de Montcal,17098
63,Meranges,17099
64,Masarac,17100
65,Massanes,17101
66,Maçanet de Cabrenys,17102
67,Maçanet de la Selva,17103
68,Mieres,17105
69,Mollet de Peralada,17106
70,Molló,17107
71,Montagut i Oix,17109
72,Mont-ras,17110
73,Navata,17111
74,Ogassa,17112
75,Olot,17114
76,Ordis,17115
77,Osor,17116
78,Palafrugell,17117
79,Palamós,17118
80,Palau de Santa Eulàlia,17119
81,Palau-saverdera,17120
82,Palau-sator,17121
83,Palol de Revardit,17123
84,Pals,17124
85,Pardines,17125
86,Parlavà,17126
87,Pau,17128
88,Pedret i Marzà,17129
89,La Pera,17130
90,Peralada,17132
91,Les Planes d'Hostoles,17133
92,Planoles,17134
93,Pont de Molins,17135
94,Pontós,17136
95,Porqueres,17137
96,Portbou,17138
97,Les Preses,17139
98,El Port de la Selva,17140
99,Puigcerdà,17141
100,Quart,17142
