Municipios;Actividades_profesionales_y_técnicas;B_E_Industria;Comercio,_transporte_y_hostelería;Educación,_sanidad_y_servicios_sociales;F_Construcción;J_Información_y_comunicaciones;K_Actividades_financieras_y_de_seguros;L_Actividades_inmobiliarias;Otros_servicios_personales;Total;Total_servicios;Ultimo_periodo
01;3184;1885;7098;1558;2404;370;325;233;1794;18851;7464;2020
01001;0;20;60;0;28;0;0;0;0;155;47;2020
01002;91;60;247;44;101;6;8;4;40;601;193;2020
01003;0;6;19;0;5;0;0;0;0;46;16;2020
01004;0;6;51;0;12;0;0;0;0;104;35;2020
01006;0;0;0;0;0;0;0;0;0;15;0;2020
01008;0;0;0;0;0;0;0;0;0;68;0;2020
01009;0;14;36;0;10;0;0;0;0;82;22;2020
01010;0;25;53;0;29;0;0;0;0;159;52;2020
01011;0;0;0;0;0;0;0;0;0;38;0;2020
01013;0;0;0;0;0;0;0;0;0;59;0;2020
01014;0;0;0;0;0;0;0;0;0;45;0;2020
01016;0;0;0;0;0;0;0;0;0;26;0;2020
01017;0;6;26;0;12;0;0;0;0;56;12;2020
01018;0;13;48;0;18;0;0;0;0;127;48;2020
01019;0;0;0;0;0;0;0;0;0;5;0;2020
01020;0;0;0;0;0;0;0;0;0;20;0;2020
01021;0;0;0;0;0;0;0;0;0;40;0;2020
01022;0;21;24;0;5;0;0;0;0;63;13;2020
01023;0;0;0;0;0;0;0;0;0;26;0;2020
01027;0;0;0;0;0;0;0;0;0;33;0;2020
01028;0;17;43;0;21;0;0;0;0;110;29;2020
01030;0;0;0;0;0;0;0;0;0;11;0;2020
01031;0;84;93;0;34;0;0;0;0;258;47;2020
01032;0;0;0;0;0;0;0;0;0;70;0;2020
01033;0;0;0;0;0;0;0;0;0;74;0;2020
01034;0;0;0;0;0;0;0;0;0;14;0;2020
01036;99;82;387;71;98;10;18;7;83;855;288;2020
01037;0;0;0;0;0;0;0;0;0;39;0;2020
01039;0;0;0;0;0;0;0;0;0;16;0;2020
01041;0;0;0;0;0;0;0;0;0;19;0;2020
01042;0;11;28;0;12;0;0;0;0;73;22;2020
01043;0;55;94;0;36;0;0;0;0;254;69;2020
01044;0;0;0;0;0;0;0;0;0;18;0;2020
01046;0;0;0;0;0;0;0;0;0;61;0;2020
01047;0;7;19;0;16;0;0;0;0;58;16;2020
01049;0;0;0;0;0;0;0;0;0;14;0;2020
01051;19;18;110;19;30;0;0;0;31;233;75;2020
01052;0;0;0;0;0;0;0;0;0;28;0;2020
01053;0;0;0;0;0;0;0;0;0;33;0;2020
01054;0;12;26;0;10;0;0;0;0;70;22;2020
01055;0;0;0;0;0;0;0;0;0;69;0;2020
01056;0;0;0;0;0;0;0;0;0;10;0;2020
01057;0;0;0;0;0;0;0;0;0;49;0;2020
01058;0;80;70;0;24;0;0;0;0;221;47;2020
01059;2615;1029;5150;1241;1727;319;255;197;1410;13943;6037;2020
01060;0;0;0;0;0;0;0;0;0;14;0;2020
01061;0;0;0;0;0;0;0;0;0;13;0;2020
01062;0;0;0;0;0;0;0;0;0;24;0;2020
01063;0;9;60;0;20;0;0;0;0;159;70;2020
01901;0;20;98;0;36;0;0;0;0;206;52;2020
01902;0;0;0;0;0;0;0;0;0;67;0;2020
02;3433;2682;10407;1832;3441;267;634;1232;2422;26350;9820;2020
02001;0;0;0;0;0;0;0;0;0;51;0;2020
02002;0;0;0;0;0;0;0;0;0;27;0;2020
02003;2158;938;4275;1190;1400;172;343;725;1248;12449;5836;2020
02004;0;0;0;0;0;0;0;0;0;30;0;2020
02005;0;0;0;0;0;0;0;0;0;54;0;2020
02006;0;0;0;0;0;0;0;0;0;28;0;2020
