Municipios;Hombres_Española_65_y_más_años;Hombres_Española_De_16_a_64_años;Hombres_Española_Menos_de_16_años;Hombres_Española_Todas_las_edades;Hombres_Extranjera_65_y_más_años;Hombres_Extranjera_De_16_a_64_años;Hombres_Extranjera_Menos_de_16_años;Hombres_Extranjera_Todas_las_edades;Hombres_Total_65_y_más_años;Hombres_Total_De_16_a_64_años;Hombres_Total_Menos_de_16_años;Hombres_Total_Todas_las_edades;Mujeres_Española_65_y_más_años;Mujeres_Española_De_16_a_64_años;Mujeres_Española_Menos_de_16_años;Mujeres_Española_Todas_las_edades;Mujeres_Extranjera_65_y_más_años;Mujeres_Extranjera_De_16_a_64_años;Mujeres_Extranjera_Menos_de_16_años;Mujeres_Extranjera_Todas_las_edades;Mujeres_Total_65_y_más_años;Mujeres_Total_De_16_a_64_años;Mujeres_Total_Menos_de_16_años;Mujeres_Total_Todas_las_edades;Total_Española_65_y_más_años;Total_Española_De_16_a_64_años;Total_Española_Menos_de_16_años;Total_Española_Todas_las_edades;Total_Extranjera_65_y_más_años;Total_Extranjera_De_16_a_64_años;Total_Extranjera_Menos_de_16_años;Total_Extranjera_Todas_las_edades;Total_Total_65_y_más_años;Total_Total_De_16_a_64_años;Total_Total_Menos_de_16_años;Total_Total_Todas_las_edades;Ultimo_periodo
01001;168;907;295;1370;3;121;37;161;171;1028;332;1531;176;826;253;1255;5;113;31;149;181;939;284;1404;344;1733;548;2625;8;234;68;310;352;1967;616;2935;2020
01002;1017;2909;789;4715;11;243;75;329;1028;3152;864;5044;1223;2920;713;4856;15;267;82;364;1238;3187;795;5220;2240;5829;1502;9571;26;510;157;693;2266;6339;1659;10264;2020
01003;166;447;120;733;1;13;1;15;167;460;121;748;154;413;108;675;0;19;0;19;154;432;108;694;320;860;228;1408;1;32;1;34;321;892;229;1442;2020
01004;136;537;163;836;5;37;14;56;141;574;177;892;187;524;138;849;2;41;16;59;189;565;154;908;323;1061;301;1685;7;78;30;115;330;1139;331;1800;2020
01006;12;73;23;108;0;7;0;7;12;80;23;115;17;72;16;105;1;2;0;3;18;74;16;108;29;145;39;213;1;9;0;10;30;154;39;223;2020
01008;104;339;70;513;0;22;4;26;104;361;74;539;93;287;54;434;0;11;0;11;93;298;54;445;197;626;124;947;0;33;4;37;197;659;128;984;2020
01009;147;514;94;755;1;61;16;78;148;575;110;833;173;451;101;725;0;43;22;65;173;494;123;790;320;965;195;1480;1;104;38;143;321;1069;233;1623;2020
01010;247;956;277;1480;2;16;2;20;249;972;279;1500;267;905;266;1438;0;26;4;30;267;931;270;1468;514;1861;543;2918;2;42;6;50;516;1903;549;2968;2020
01011;36;89;8;133;1;26;6;33;37;115;14;166;36;60;10;106;1;19;2;22;37;79;12;128;72;149;18;239;2;45;8;55;74;194;26;294;2020
01013;92;310;63;465;2;15;1;18;94;325;64;483;82;246;55;383;4;10;1;15;86;256;56;398;174;556;118;848;6;25;2;33;180;581;120;881;2020
