Municipios;Periodo;Total
01;2021M02;141.0
01;2021M02;19.0
01001;2021M02;24.0
01002;2021M02;16.0
01003;2021M02;0.0
01004;2021M02;45.0
01006;2021M02;131.0
01008;2021M02;41.0
01009;2021M02;1.0
01010;2021M02;61.0
01011;2021M02;0.0
01013;2021M02;2.0
01014;2021M02;0.0
01016;2021M02;35.0
01017;2021M02;34.0
01018;2021M02;92.0
01019;2021M02;0.0
01020;2021M02;149.0
01021;2021M02;12.0
01022;2021M02;72.0
01023;2021M02;37.0
01027;2021M02;8.0
01028;2021M02;32.0
01030;2021M02;0.0
01031;2021M02;133.0
01032;2021M02;167.0
01033;2021M02;146.0
01034;2021M02;39.0
01036;2021M02;2.0
01037;2021M02;99.0
01039;2021M02;55.0
01041;2021M02;0.0
01042;2021M02;0.0
01043;2021M02;25.0
01044;2021M02;32.0
01046;2021M02;34.0
01047;2021M02;109.0
01049;2021M02;239.0
01051;2021M02;8.0
01052;2021M02;119.0
01053;2021M02;119.0
01054;2021M02;26.0
01055;2021M02;67.0
01056;2021M02;0.0
01057;2021M02;38.0
01058;2021M02;52.0
01059;2021M02;12.0
01060;2021M02;45.0
01061;2021M02;0.0
01062;2021M02;27.0
01063;2021M02;61.0
01901;2021M02;6.0
01902;2021M02;29.0
02;2021M02;28.0
02;2021M02;45.0
02001;2021M02;0.0
02002;2021M02;19.0
02003;2021M02;17.0
02004;2021M02;0.0
02005;2021M02;0.0
02006;2021M02;0.0
02007;2021M02;471.0
02008;2021M02;231.0
02009;2021M02;4.0
02010;2021M02;35.0
02011;2021M02;61.0
02012;2021M02;0.0
02013;2021M02;0.0
02014;2021M02;93.0
02015;2021M02;0.0
02016;2021M02;39.0
02017;2021M02;83.0
02018;2021M02;16.0
02019;2021M02;11.0
02020;2021M02;21.0
02021;2021M02;23.0
02022;2021M02;56.0
02023;2021M02;27.0
02024;2021M02;5.0
02025;2021M02;6.0
02026;2021M02;15.0
02027;2021M02;0.0
02028;2021M02;0.0
02029;2021M02;44.0
02030;2021M02;44.0
02031;2021M02;28.0
02032;2021M02;0.0
02033;2021M02;27.0
02034;2021M02;27.0
02035;2021M02;7.0
02036;2021M02;0.0
02037;2021M02;5.0
02038;2021M02;0.0
02039;2021M02;11.0
02040;2021M02;68.0
02041;2021M02;269.0
02042;2021M02;95.0
02043;2021M02;0.0
02044;2021M02;24.0
02045;2021M02;4.0
02046;2021M02;11.0
02047;2021M02;106.0
02048;2021M02;44.0
02049;2021M02;72.0
02050;2021M02;0.0
02051;2021M02;0.0
02052;2021M02;61.0
02053;2021M02;16.0
02054;2021M02;0.0
02055;2021M02;44.0
02056;2021M02;7.0
02057;2021M02;209.0
02058;2021M02;29.0
02059;2021M02;0.0
02060;2021M02;22.0
02061;2021M02;0.0
02062;2021M02;2.0
02063;2021M02;18.0
02064;2021M02;27.0
02065;2021M02;0.0
02066;2021M02;0.0
02067;2021M02;573.0
02068;2021M02;0.0
02069;2021M02;2.0
02070;2021M02;19.0
02071;2021M02;13.0
02072;2021M02;39.0
02073;2021M02;0.0
02074;2021M02;13.0
02075;2021M02;34.0
02076;2021M02;0.0
02077;2021M02;234.0
02078;2021M02;12.0
02079;2021M02;14.0
02080;2021M02;0.0
02081;2021M02;1.0
02082;2021M02;0.0
02083;2021M02;0.0
02084;2021M02;218.0
02085;2021M02;0.0
02086;2021M02;246.0
02901;2021M02;0.0
03;2021M02;262.0
03;2021M02;71.0
03001;2021M02;605.0
03002;2021M02;46.0
03003;2021M02;61.0
03004;2021M02;189.0
03005;2021M02;2.0
03006;2021M02;303.0
03007;2021M02;0.0
03008;2021M02;21.0
03009;2021M02;28.0
03010;2021M02;56.0
03011;2021M02;344.0
03012;2021M02;348.0
03013;2021M02;1.0
03014;2021M02;185.0
03015;2021M02;39.0
03016;2021M02;0.0
03017;2021M02;0.0
03018;2021M02;701.0
03019;2021M02;15.0
03020;2021M02;0.0
03021;2021M02;29.0
03022;2021M02;0.0
03023;2021M02;35.0
03024;2021M02;11.0
03025;2021M02;63.0
03026;2021M02;207.0
03027;2021M02;93.0
03028;2021M02;39.0
03029;2021M02;234.0
03030;2021M02;43.0
03031;2021M02;421.0
03032;2021M02;0.0
03033;2021M02;77.0
03034;2021M02;196.0
03035;2021M02;0.0
03036;2021M02;169.0
03037;2021M02;568.0
03038;2021M02;0.0
03039;2021M02;0.0
03040;2021M02;37.0
03041;2021M02;943.0
03042;2021M02;1302.0
03043;2021M02;71.0
03044;2021M02;25.0
03045;2021M02;172.0
03046;2021M02;272.0
03047;2021M02;1051.0
03048;2021M02;57.0
03049;2021M02;7.0
03050;2021M02;397.0
03051;2021M02;0.0
03052;2021M02;82.0
03053;2021M02;44.0
03054;2021M02;128.0
03055;2021M02;5.0
03056;2021M02;21.0
03057;2021M02;126.0
03058;2021M02;3.0
03059;2021M02;2.0
03060;2021M02;72.0
03061;2021M02;12.0
03062;2021M02;17.0
03063;2021M02;71.0
03064;2021M02;3.0
03065;2021M02;65.0
03066;2021M02;1.0
03067;2021M02;94.0
03068;2021M02;122.0
03069;2021M02;52.0
03070;2021M02;109.0
03071;2021M02;141.0
03072;2021M02;71.0
03073;2021M02;136.0
03074;2021M02;19.0
03075;2021M02;705.0
03076;2021M02;252.0
03077;2021M02;112.0
03078;2021M02;78.0
03079;2021M02;8.0
03080;2021M02;72.0
03081;2021M02;314.0
03082;2021M02;1084.0
03083;2021M02;72.0
03084;2021M02;0.0
03085;2021M02;511.0
03086;2021M02;81.0
03088;2021M02;65.0
03089;2021M02;19.0
03090;2021M02;12.0
03091;2021M02;174.0
03092;2021M02;6.0
03093;2021M02;9.0
03094;2021M02;178.0
03095;2021M02;91.0
03096;2021M02;31.0
03097;2021M02;285.0
03098;2021M02;122.0
03099;2021M02;35.0
03100;2021M02;306.0
03101;2021M02;332.0
03102;2021M02;258.0
03103;2021M02;258.0
03104;2021M02;15.0
03105;2021M02;46.0
