Municipios;Plazas;Plazas_por_vivienda_turística;Viviendas_turísticas;Ultimo_periodo
01;157042.0;5.015000000000001;30937.0;2021M02
01001;14.0;4.67;3.0;2021M02
01002;42.0;6.0;7.0;2021M02
01003;0.0;0.0;0.0;2021M02
01004;32.0;6.4;5.0;2021M02
01006;14.0;7.0;2.0;2021M02
01008;8.0;4.0;2.0;2021M02
01009;8.0;8.0;1.0;2021M02
01010;56.0;7.0;8.0;2021M02
01011;0.0;0.0;0.0;2021M02
01013;3.0;3.0;1.0;2021M02
01014;0.0;0.0;0.0;2021M02
01016;19.0;9.5;2.0;2021M02
01017;24.0;8.0;3.0;2021M02
01018;48.0;6.0;8.0;2021M02
01019;0.0;0.0;0.0;2021M02
01020;17.0;3.4;5.0;2021M02
01021;9.0;3.0;3.0;2021M02
01022;29.0;5.8;5.0;2021M02
01023;6.0;6.0;1.0;2021M02
01027;10.0;5.0;2.0;2021M02
01028;36.0;7.2;5.0;2021M02
01030;0.0;0.0;0.0;2021M02
01031;110.0;6.47;17.0;2021M02
01032;90.0;9.0;10.0;2021M02
01033;57.0;7.13;8.0;2021M02
01034;12.0;12.0;1.0;2021M02
01036;10.0;5.0;2.0;2021M02
01037;39.0;6.5;6.0;2021M02
01039;8.0;8.0;1.0;2021M02
01041;0.0;0.0;0.0;2021M02
01042;0.0;0.0;0.0;2021M02
01043;13.0;3.25;4.0;2021M02
01044;4.0;4.0;1.0;2021M02
01046;17.0;5.67;3.0;2021M02
01047;27.0;3.86;7.0;2021M02
01049;47.0;9.4;5.0;2021M02
01051;5.0;2.5;2.0;2021M02
01052;23.0;7.67;3.0;2021M02
01053;35.0;7.0;5.0;2021M02
01054;11.0;5.5;2.0;2021M02
01055;56.0;8.0;7.0;2021M02
01056;0.0;0.0;0.0;2021M02
01057;7.0;7.0;1.0;2021M02
01058;20.0;4.0;5.0;2021M02
01059;445.0;3.3;135.0;2021M02
01060;4.0;4.0;1.0;2021M02
01061;0.0;0.0;0.0;2021M02
01062;7.0;7.0;1.0;2021M02
01063;38.0;5.43;7.0;2021M02
01901;1.0;1.0;1.0;2021M02
01902;24.0;12.0;2.0;2021M02
02;11317.0;5.74;2061.5;2021M02
02001;0.0;0.0;0.0;2021M02
02002;4.0;4.0;1.0;2021M02
02003;521.0;3.7;141.0;2021M02
02004;0.0;0.0;0.0;2021M02
02005;0.0;0.0;0.0;2021M02
02006;0.0;0.0;0.0;2021M02
02007;395.0;6.93;57.0;2021M02
02008;109.0;4.19;26.0;2021M02
02009;19.0;3.8;5.0;2021M02
02010;48.0;8.0;6.0;2021M02
02011;39.0;6.5;6.0;2021M02
02012;0.0;0.0;0.0;2021M02
02013;0.0;0.0;0.0;2021M02
02014;46.0;11.5;4.0;2021M02
02015;0.0;0.0;0.0;2021M02
02016;27.0;9.0;3.0;2021M02
02017;56.0;6.22;9.0;2021M02
02018;4.0;4.0;1.0;2021M02
02019;24.0;12.0;2.0;2021M02
02020;11.0;11.0;1.0;2021M02
02021;18.0;9.0;2.0;2021M02
02022;36.0;12.0;3.0;2021M02
02023;28.0;14.0;2.0;2021M02
02024;69.0;5.31;13.0;2021M02
02025;10.0;3.33;3.0;2021M02
02026;8.0;8.0;1.0;2021M02
02027;0.0;0.0;0.0;2021M02
02028;0.0;0.0;0.0;2021M02
02029;116.0;9.67;12.0;2021M02
02030;85.0;6.54;13.0;2021M02
02031;19.0;9.5;2.0;2021M02
02032;0.0;0.0;0.0;2021M02
02033;30.0;7.5;4.0;2021M02
02034;18.0;6.0;3.0;2021M02
02035;8.0;8.0;1.0;2021M02
02036;0.0;0.0;0.0;2021M02
02037;33.0;4.71;7.0;2021M02
02038;0.0;0.0;0.0;2021M02
02039;2.0;2.0;1.0;2021M02
02040;32.0;16.0;2.0;2021M02
02041;125.0;9.62;13.0;2021M02
02042;64.0;6.4;10.0;2021M02
02043;0.0;0.0;0.0;2021M02
02044;20.0;6.67;3.0;2021M02
02045;5.0;5.0;1.0;2021M02
02046;6.0;6.0;1.0;2021M02
02047;21.0;7.0;3.0;2021M02
02048;24.0;4.8;5.0;2021M02
02049;69.0;7.67;9.0;2021M02
02050;0.0;0.0;0.0;2021M02
02051;0.0;0.0;0.0;2021M02
02052;20.0;10.0;2.0;2021M02
02053;36.0;9.0;4.0;2021M02
02054;0.0;0.0;0.0;2021M02
02055;29.0;4.83;6.0;2021M02
02056;8.0;8.0;1.0;2021M02
02057;223.0;5.87;38.0;2021M02
02058;18.0;9.0;2.0;2021M02
02059;0.0;0.0;0.0;2021M02
02060;20.0;10.0;2.0;2021M02
02061;0.0;0.0;0.0;2021M02
02062;5.0;5.0;1.0;2021M02
02063;15.0;7.5;2.0;2021M02
02064;15.0;15.0;1.0;2021M02
02065;0.0;0.0;0.0;2021M02
02066;0.0;0.0;0.0;2021M02
02067;414.0;6.27;66.0;2021M02
02068;0.0;0.0;0.0;2021M02
02069;20.0;10.0;2.0;2021M02
02070;8.0;8.0;1.0;2021M02
02071;8.0;8.0;1.0;2021M02
02072;48.0;9.6;5.0;2021M02
02073;0.0;0.0;0.0;2021M02
02074;66.0;9.43;7.0;2021M02
02075;50.0;12.5;4.0;2021M02
02076;0.0;0.0;0.0;2021M02
02077;20.0;6.67;3.0;2021M02
02078;14.0;14.0;1.0;2021M02
02079;22.0;7.33;3.0;2021M02
02080;0.0;0.0;0.0;2021M02
02081;89.0;7.42;12.0;2021M02
02082;0.0;0.0;0.0;2021M02
02083;0.0;0.0;0.0;2021M02
02084;56.0;7.0;8.0;2021M02
02085;0.0;0.0;0.0;2021M02
02086;322.0;5.96;54.0;2021M02
02901;0.0;0.0;0.0;2021M02
03;100370.0;5.1899999999999995;18882.0;2021M02
03001;225.0;6.62;34.0;2021M02
03002;66.0;5.08;13.0;2021M02
03003;23.0;5.75;4.0;2021M02
03004;89.0;5.24;17.0;2021M02
03005;55.0;4.23;13.0;2021M02
03006;224.0;6.4;35.0;2021M02
03007;0.0;0.0;0.0;2021M02
03008;25.0;5.0;5.0;2021M02
03009;335.0;3.38;99.0;2021M02
03010;8.0;4.0;2.0;2021M02
03011;2214.0;5.19;427.0;2021M02
03012;490.0;5.57;88.0;2021M02
03013;6.0;6.0;1.0;2021M02
03014;14583.0;4.23;3451.0;2021M02
03015;181.0;4.76;38.0;2021M02
03016;0.0;0.0;0.0;2021M02
03017;0.0;0.0;0.0;2021M02
03018;6133.0;5.32;1152.0;2021M02
03019;113.0;7.53;15.0;2021M02
03020;0.0;0.0;0.0;2021M02
03021;74.0;6.17;12.0;2021M02
03022;0.0;0.0;0.0;2021M02
03023;15.0;3.75;4.0;2021M02
03024;15.0;5.0;3.0;2021M02
03025;36.0;6.0;6.0;2021M02
03026;154.0;5.5;28.0;2021M02
03027;11.0;5.5;2.0;2021M02
03028;8.0;2.67;3.0;2021M02
03029;60.0;5.45;11.0;2021M02
03030;211.0;6.03;35.0;2021M02
03031;11600.0;4.75;2444.0;2021M02
03032;0.0;0.0;0.0;2021M02
03033;6.0;6.0;1.0;2021M02
03034;250.0;6.1;41.0;2021M02
03035;0.0;0.0;0.0;2021M02
03036;6.0;6.0;1.0;2021M02
03037;98.0;4.26;23.0;2021M02
03038;0.0;0.0;0.0;2021M02
03039;0.0;0.0;0.0;2021M02
03040;92.0;8.36;11.0;2021M02
03041;7194.0;6.92;1040.0;2021M02
03042;3108.0;5.77;539.0;2021M02
03043;104.0;5.78;18.0;2021M02
03044;42.0;5.25;8.0;2021M02
03045;26.0;5.2;5.0;2021M02
03046;406.0;7.96;51.0;2021M02
