seccion_censal;cod_pos;cod_ine
0100101001;01240;01001
0100101001;01193;01001
0100101002;01240;01001
0100201001;01470;01002
0100201001;01450;01002
0100201001;01468;01002
0100201002;01470;01002
0100201002;01450;01002
0100201002;01468;01002
0100201003;01470;01002
0100201004;01470;01002
0100201005;01470;01002
0100201006;01470;01002
0100201007;01470;01002
0100301001;01169;01003
0100301001;01160;01003
0100301001;01165;01003
0100401001;01474;01004
0100401001;01478;01004
0100601001;01220;01006
0100601001;01211;01006
0100801001;01520;01008
0100801001;01510;01008
0100901001;01208;01009
0100901001;01260;01009
0100901001;01250;01009
0101001001;01479;01010
0101001001;01470;01010
0101001001;01477;01010
0101001001;01476;01010
0101001001;01478;01010
0101001002;01408;01010
0101101001;01307;01011
0101301001;01206;01013
0101301001;01208;01013
0101401001;01121;01014
0101401001;01211;01014
0101401001;01220;01014
0101401001;01212;01014
0101601001;01118;01016
0101601001;01216;01016
0101601001;01194;01016
0101601001;01128;01016
0101701001;01128;01017
0101701001;01117;01017
0101701001;01110;01017
0101801001;01138;01018
0101801001;01196;01018
0101901001;01308;01019
0102001001;01439;01020
0102001001;01430;01020
0102101001;01192;01021
0102101001;01193;01021
0102201001;01340;01022
0102301001;01309;01023
0102701001;01193;01027
0102701001;01207;01027
0102701001;01206;01027
0102801001;01330;01028
0102801001;01212;01028
0102801001;01012;01028
0103001001;01118;01030
0103001001;01211;01030
0103101001;01308;01031
0103101001;01300;01031
0103101001;01321;01031
0103101001;01309;01031
0103201001;01308;01032
0103301001;01306;01033
0103401001;01309;01034
0103601001;01400;01036
0103601002;01400;01036
0103601003;01400;01036
0103601004;01400;01036
0103601005;01400;01036
0103601006;01400;01036
0103601007;01400;01036
0103601008;01400;01036
0103601009;01400;01036
0103601010;01400;01036
0103601011;01400;01036
0103601012;01400;01036
0103601013;01400;01036
0103701001;01129;01037
0103701001;01128;01037
0103701001;01120;01037
0103901001;01322;01039
0104101001;01309;01041
0104201001;01409;01042
0104301001;01322;01043
0104301001;01320;01043
0104301002;01322;01043
0104301002;01320;01043
0104401001;01211;01044
0104401001;01216;01044
0104401001;01212;01044
0104601001;01220;01046
0104601001;01428;01046
0104601001;01420;01046
0104601001;01426;01046
0104601001;01213;01046
0104601001;01423;01046
0104701001;01213;01047
0104701001;01220;01047
0104901001;01423;01049
0104901001;01426;01049
0105101001;01207;01051
0105101001;01200;01051
0105101002;01200;01051
0105101003;01200;01051
0105201001;01307;01052
0105301001;01207;01053
0105301001;01208;01053
0105401001;01449;01054
0105401001;01450;01054
0105401001;01440;01054
0105501001;01427;01055
0105501001;01426;01055
0105501001;01423;01055
0105501001;01428;01055
0105601001;01117;01056
0105701001;01307;01057
0105801001;01170;01058
0105801001;01510;01058
0105801001;01171;01058
0105901001;01001;01059
0105901003;01001;01059
0105901004;01012;01059
0105901004;01001;01059
0105901004;01002;01059
0105901005;01001;01059
0105901008;01002;01059
0105901008;01001;01059
0105901010;01001;01059
0105901010;01002;01059
0105901012;01001;01059
