cod_ine;cod_pos
01001;01240
01001;01193
01002;01470
01002;01450
01002;01468
01003;01169
01003;01160
01003;01165
01004;01474
01004;01478
01006;01220
01006;01211
01008;01520
01008;01510
01009;01208
01009;01260
01009;01250
01010;01479
01010;01470
01010;01477
01010;01476
01010;01478
01010;01408
01011;01307
01013;01206
01013;01208
01014;01121
01014;01211
01014;01220
01014;01212
01016;01118
01016;01216
01016;01194
01016;01128
01017;01128
01017;01117
01017;01110
01018;01138
01018;01196
01019;01308
01020;01439
01020;01430
01021;01192
01021;01193
01022;01340
01023;01309
01027;01193
01027;01207
01027;01206
01028;01330
01028;01212
01028;01012
01030;01118
01030;01211
01031;01308
01031;01300
01031;01321
01031;01309
01032;01308
01033;01306
01034;01309
01036;01400
01037;01129
01037;01128
01037;01120
01039;01322
01041;01309
01042;01409
01043;01322
01043;01320
01044;01211
01044;01216
01044;01212
01046;01220
01046;01428
01046;01420
01046;01426
01046;01213
01046;01423
01047;01213
01047;01220
01049;01423
01049;01426
01051;01207
01051;01200
01052;01307
01053;01207
01053;01208
01054;01449
01054;01450
01054;01440
01055;01427
01055;01426
01055;01423
01055;01428
01056;01117
01057;01307
01058;01170
01058;01510
01058;01171
01059;01001
01059;01012
01059;01002
01059;01005
01059;01004
01059;01007
01059;01008
01059;01009
01059;01010
01059;01006
01059;01015
01059;01013
01059;01003
01059;01192
01059;01520
01059;01193
01059;01194
01059;01195
01059;01510
01059;01196
01059;01191
01060;01322
01061;01208
01062;01212
01063;01139
01063;01130
01063;01450
01901;01230
01901;01195
01901;01428
01901;01191
01902;01213
01902;01423
02001;02250
02002;02152
02003;02001
02003;02005
02003;02002
02003;02008
02003;02006
02003;02099
02003;02004
02003;02003
02003;02049
02003;02511
02003;02071
02003;02140
02003;02155
02003;02512
02003;02328
02004;02653
02005;02215
02006;02124
02006;02128
02007;02210
02007;02211
02007;02214
02008;02300
02008;02312
02008;02314
02008;02330
02009;02640
02010;02690
02011;02125
02011;02139
02011;02126
02011;02124
02011;02999
02012;02320
02013;02214
02013;02213
02014;02614
02015;02639
02016;02360
02017;02138
02017;02130
02017;02139
02017;02448
02018;02691
02019;02610
02020;02153
02021;02151
02022;02329
02023;02212
02024;02200
02025;02660
02025;02600
02026;02247
02027;02693
02028;02461
02029;02520
02029;02529
02029;02510
02029;02692
02029;02695
02029;02156
02030;02430
02030;02470
02030;02439
02030;02449
02031;02436
02032;02637
02033;02651
02034;02249
02034;02251
02034;02260
02035;02110
02036;02253
02037;02400
02037;02409
02037;02499
02037;02420
02037;02490
02037;02498
02038;02162
02039;02690
02039;02694
02040;02696
02041;02249
02041;02248
02042;02434
02043;02160
02043;02161
02044;02124
02044;02410
02044;02142
02045;02230
02046;02240
02047;02314
02048;02620
02049;02449
02049;02440
02049;02448
02050;02638
02051;02650
02052;02220
02053;02612
02054;02246
02055;02536
02055;02535
02055;02534
02055;02539
02055;02530
02055;02537
02055;02538
02056;02652
02057;02611
02058;02137
02058;02136
02059;02138
02059;02313
02059;02013
02059;02314
02060;02127
02060;02128
02060;02120
02061;02692
02061;02693
02062;02311
02063;02129
02063;02142
02063;02141
02064;02154
02065;02327
02066;02249
02067;02459
02067;02450
02067;02462
02068;02332
02068;02331
02068;02340
02069;02630
02069;02639
02070;02316
02071;02326
02072;02435
02072;02437
02073;02100
02074;02500
02074;02513
02074;02514
02075;02150
02076;02315
02077;02213
02078;02636
02078;02236
02079;02270
02080;02350
02081;02600
02081;02660
02081;02612
02082;02215
02083;02154
02084;02460
02084;02462
02085;02310
02086;02489
02086;02484
02086;02487
02086;02486
02086;02480
02086;02485
02086;02482
02086;02488
02901;02510
02901;02099
03001;03786
03002;03698
03003;03837
03004;03569
03005;03340
03006;03728
03006;03759
03006;03723
03007;03841
03008;03814
03009;03801
03009;03802
03009;03803
03009;03804
03009;03818
03009;03800
03009;03819
03010;03838
03011;03580
03011;03581
03012;03169
03012;03176
03013;03668
03014;03003
03014;03001
03014;03002
03014;03004
03014;03005
03014;03009
03014;03010
03014;03012
03014;03013
03014;03014
03014;03015
03014;03540
03014;03016
03014;03559
03014;03113
03014;03112
03014;03115
03014;03550
03014;03011
03014;03409
03014;03006
03014;03007
03014;03008
03014;03138
03014;03114
03014;03699
03015;03160
03015;03179
03016;03827
03017;03829
03018;03590
03018;03599
03019;03680
03020;03812
03021;03450
03022;03814
03023;03460
03023;03469
03024;03390
03025;03316
